name, description, old price, price, discount, monthly
Huawei MateBook X Pro 2020 Space Grey, 13.9-inch | Intel Core i7-10510U | 16GB, 119990, 113990, 5%, 9999.17
Apple MacBook Air (M1 2020) MGND3, 13.3-inch | M1 chip | 8-Core CPU | Gold | 256GB, 54990, 48990, 11%, 4582.50
Apple MacBook Air (M1 2020) MGN63, 13.3-inch | M1 chip | 8-Core CPU | Space Gray | 256GB, 54990, 48990, 11%, 4582.50
Apple MacBook Air (M1 2020) MGN93, 13.3-inch | M1 chip | 8-Core CPU | Silver | 256GB, 54990, 48990, 11%, 4582.50
Huawei MateBook 14 11th Gen 2021 Space Grey, 14-inch 2K | Intel Core i5-1135G7 | 16GB, 64999, 61999, 5%, 5416.58
ASUS TUF Dash F15 FX516PM-HN097T Eclipse Gray, 15.6-inch Full HD | Intel Core i5-11300H | 8GB, , 57995, No discount, 4832.92
Huawei MateBook D15 BoB-WAI9 Mystic Silver, 15.6-inch Full HD | Intel Core i3-10110U | 8GB, 28999, 26999, 7%, 2416.58
Huawei MateBook D15 10th Gen Mystic Silver, 15-inch Full HD | Intel Core i5-10210U | 8GB, 36999, 32999, 11%, 3083.25
Huawei MateBook D14 NBB-WAH9 Mystic Silver, 14-inch Full HD | Intel Core i5-10210U | 8GB, 36999, 33999, 8%, 3083.25
Huawei MateBook 14 Space Grey, 14-inch 2K | AMD Ryzen 5 4600H | 8GB, 43999, 40999, 7%, 3666.58
Lenovo IdeaPad 3 81WH002TPH Business Black, 14-inch HD | Intel Pentium N5030 | 4GB, 22995, 20495, 11%, 1916.25
Acer Aspire 3 A314-35-P9UJ Pure Silver, 14-inch HD | Intel Pentium N6000 | 8GB, 24999, 21999, 12%, 2083.25
Lenovo IdeaPad Duet 3 82AT00A0PH Graphite Grey, 10.3-inch WUXGA | Intel Pentium N5030 | 8GB, 27995, 24495, 13%, 2332.92
Huawei MateBook D 15 BoDE-WDH9 Mystic Silver, 15.6-inch Full HD | Intel Core i5-1155G7 | 8GB, 36999, 33999, 8%, 3083.25
Lenovo Yoga Slim 7 Carbon 82EV002KPH Moon White, 13.3-inch Quad HD | Intel Core i5-1135G7 | 8GB, , 52995, No discount, 4416.25
Dynabook Satellite Pro L40 Silver, 14-inch HD | Intel Core i5-10210U | 8GB, 36498, 34998, 4%, 3041.50
Acer Predator Helios 300 PH315-54-55NE Aluminium Black, 15.6-inch QHD | Intel Core i5-11400H | 16GB, 87999, 83999, 5%, 7333.25
Huawei MateBook 14 2021 Space Grey, 14-inch 2K | 11th Gen Intel Core i5-1135G7 | 8GB, 43999, 41999, 5%, 3666.58
Chuwi CoreBook X Iron Gray, 14-inch Full HD | Intel Core i5-8259U | 8GB, , 19990, No discount, 1665.83
Apple MacBook Pro (14-inch M1 Pro 2021) MKGQ3, 14-inch | M1 Pro chip | 10-Core CPU | Space Gray | 1TB, 150990, 142990, 5%, 12582.50
Apple MacBook Pro (14-inch M1 Pro 2021) MKGT3, 14-inch | M1 Pro chip | 10-Core CPU | Silver | 1TB, 150990, 142990, 5%, 12582.50
Apple MacBook Pro (16-inch M1 Pro 2021) MK183, 16-inch | M1 Pro chip | 10-Core CPU | Space Gray | 512GB, 156990, 147990, 6%, 13082.50
ASUS ZenBook 14 UX435EG A5013TS Gray, 14-inch Full HD | Intel-Core i5-1135G7 | 8GB, 57995, 49995, 14%, 4832.92
Huawei Matebook D15 2021 BOB-WAI9AQ Space Grey, 15.6-inch Full HD | 10th Gen Intel Core i3-10110U | 8GB, 28999, 26999, 7%, 2416.58
Dell Inspiron 3511 Carbon Black, 15.6-inch Full HD Intel Core i3-1115G4 | 4GB, 36998, 27998, 24%, 3083.17
Acer Aspire 3 A315-56-594H Blue, 15.6-inch HD | Intel Core i5-1035G1 | 4GB, 35999, 30998, 14%, 2999.92
HP 15S EQ2158AU Pale Gold, 15.6-inch Full HD | AMD Ryzen 5 5500U | 8GB, 37990, 31998, 16%, 3165.83
